doc_id,datetime,text,media,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence,alt_text
1,11.10.25 09:30,Shopping for clothing at Style Syndicate helps address environmental and social issues because we create less waste and treat workers better than fast fashion companies!,https://raw.githubusercontent.com/hes5407-design/Secondhand/main/Screenshot 2025-11-20 at 10.03.05.png,42,1,3,Style Syndicate,stylesyndicate,"We sell clothing, shoes, & accessories!",https://raw.githubusercontent.com/hes5407-design/SecondhandDICE/main/Screenshot 2025-11-07 at 08.31.02.png,61700000,0,0,,newsus,2,
2,11.10.25 09:30,Shopping secondhand at Style Syndicate helps address environmental and social issues because we create less waste and treat workers better than fast fashion companies!,https://raw.githubusercontent.com/hes5407-design/Secondhand/main/Screenshot 2025-11-19 at 15.51.22.png,42,1,3,Style Syndicate,stylesyndicate,"We sell secondhand clothing, shoes, & accessories!",https://raw.githubusercontent.com/hes5407-design/SecondhandDICE/main/Screenshot 2025-11-07 at 08.31.02.png,61700000,0,0,,secsus,2,
3,11.10.25 09:30,Shopping for clothing at Style Syndicate helps you find clothing you’ll love!,https://raw.githubusercontent.com/hes5407-design/Secondhand/main/Screenshot 2025-11-19 at 18.33.39.png,42,1,3,Style Syndicate,stylesyndicate,"We sell clothing, shoes, & accessories!",https://raw.githubusercontent.com/hes5407-design/SecondhandDICE/main/Screenshot 2025-11-07 at 08.31.02.png,61700000,0,0,,newcon,2,
4,11.10.25 09:30,Shopping for secondhand clothing at Style Syndicate helps you find clothing you’ll love!,https://raw.githubusercontent.com/hes5407-design/Secondhand/main/Screenshot 2025-11-19 at 18.33.46.png,42,1,3,Style Syndicate,stylesyndicate,"We sell secondhand clothing, shoes, & accessories!",https://raw.githubusercontent.com/hes5407-design/SecondhandDICE/main/Screenshot 2025-11-07 at 08.31.02.png,61700000,0,0,,seccon,2,
5,11.19.25 09:30,my brain is not braining #work #nervous #anxiety #memes #9gag,https://raw.githubusercontent.com/hes5407-design/SecondhandDICE/main/Screenshot 2025-11-11 at 20.37.18.png,27471,206,41,9gag,9gag,"Building @memeland, one meme at a time. Our mascot looks like a 🥔 @potatozzz.",https://raw.githubusercontent.com/hes5407-design/DICE/main/557623703_19130620519020807_2385656008779375520_n.jpg,54300000000,0,0,,newsus,1,
6,11.10.25 09:31,my brain is not braining #work #nervous #anxiety #memes #9gag,https://raw.githubusercontent.com/hes5407-design/SecondhandDICE/main/Screenshot 2025-11-11 at 20.37.18.png,27471,206,41,9gag,9gag,"Building @memeland, one meme at a time. Our mascot looks like a 🥔 @potatozzz.",https://raw.githubusercontent.com/hes5407-design/DICE/main/557623703_19130620519020807_2385656008779375520_n.jpg,54300000000,0,0,,secsus,1,
7,11.19.25 09:31,my brain is not braining #work #nervous #anxiety #memes #9gag,https://raw.githubusercontent.com/hes5407-design/SecondhandDICE/main/Screenshot 2025-11-11 at 20.37.18.png,27471,206,41,9gag,9gag,"Building @memeland, one meme at a time. Our mascot looks like a 🥔 @potatozzz.",https://raw.githubusercontent.com/hes5407-design/DICE/main/557623703_19130620519020807_2385656008779375520_n.jpg,54300000000,0,0,,newcon,1,
8,11.10.25 09:32,my brain is not braining #work #nervous #anxiety #memes #9gag,https://raw.githubusercontent.com/hes5407-design/SecondhandDICE/main/Screenshot 2025-11-11 at 20.37.18.png,27471,206,41,9gag,9gag,"Building @memeland, one meme at a time. Our mascot looks like a 🥔 @potatozzz.",https://raw.githubusercontent.com/hes5407-design/DICE/main/557623703_19130620519020807_2385656008779375520_n.jpg,54300000000,0,0,,seccon,1,
9,11.10.25 09:30,"From a quick urban escape to a once-in-a-lifetime adventure, a new roster of luxury hotels and resorts can help inspire any 2026 itinerary. Here are Forbes Travel Guide’s 23 most anticipated hotel openings next year.",https://raw.githubusercontent.com/hes5407-design/SecondhandDICE/main/Screenshot 2025-11-11 at 20.33.47.png,687,7,15,Forbes,forbes,"Official Instagram account of Forbes, the world’s leading voice for entrepreneurial success and free enterprise.",https://raw.githubusercontent.com/hes5407-design/DICE/main/386845508_1422434591634620_3003545370011476510_n.jpg,7300000000,0,0,,newsus,3,
10,11.10.25 09:31,"From a quick urban escape to a once-in-a-lifetime adventure, a new roster of luxury hotels and resorts can help inspire any 2026 itinerary. Here are Forbes Travel Guide’s 23 most anticipated hotel openings next year.",https://raw.githubusercontent.com/hes5407-design/SecondhandDICE/main/Screenshot 2025-11-11 at 20.33.47.png,687,7,15,Forbes,forbes,"Official Instagram account of Forbes, the world’s leading voice for entrepreneurial success and free enterprise.",https://raw.githubusercontent.com/hes5407-design/DICE/main/386845508_1422434591634620_3003545370011476510_n.jpg,7300000000,0,0,,secsus,3,
